Symbol	Name	Price
A	Agilent Technologies	120.83
AA	Alcoa	18.82
AACG	ATA Creativity Global	1.34
AACQ	Artius Acquisition	10.75
AAIC	Arlington Asset Investment	3.66
AAL	American Airlines	16.84
AAMC	Altisource Asset Management	22.37
AAME	Atlantic American	2.29
AAN	The Aaron''s Company	17.96
AAOI	Applied Optoelectronics	11
AAON	AAON, Inc.	74.96
AAP	Advance Auto Parts	150.97
AAPL	Apple	134.14
AAT	American Assets Trust	28.13
AAU	Almaden Minerals	0.92
AAWW	Atlas Air Worldwide Holdings	54.2
AAXN	Axon Enterprise	0.0
AB	AllianceBernstein	36.12
ABB	ABB Ltd.	30.14
ABBV	AbbVie	102.3
ABC	AmerisourceBergen	106.89
ABCB	Ameris Bancorp	41.26
ABCFF	Abacus Mining & Exploration	0.08
ABCL	AbCellera Biologics	53.2
ABCM	Abcam PLC	22.65
ABCP	AmBase	0.35
ABEO	Abeona Therapeutics	1.94
ABEV	Ambev	2.9
ABG	Asbury Automotive Group	151.32
ABIL	Ability	202.2
ABILF	Ability	0.57
ABIO	ARCA biopharma	4.52
ABM	ABM Industries	38.3
ABMC	American Bio Medica	0.19
ABMD	Abiomed	341.86
ABNB	Airbnb	180.44
ABR	Arbor Realty Trust	14.5
ABST	Absolute Software	12.93
ABT	Abbott Laboratories	122.54
ABTX	Allegiance Bancshares	35.54
ABUS	Arbutus Biopharma	3.88
AC	Associated Capital Group	34.89
ACA	Arcosa	58.06
ACAC	Acies Acquisition	11.41
ACAD	ACADIA Pharmaceuticals	46.58
ACAM	Acamar Partners Acquisition	0.0
ACB	Aurora Cannabis	11.2
ACBI	Atlantic Capital Bancshares	18.18
ACC	American Campus Communities	42.07
ACCD	Accolade	51.11
ACCO	ACCO Brands	8.36
ACDVF	Air Canada	15.93
ACEL	Accel Entertainment	9.84
ACER	Acer Therapeutics	3.64
ACET	Adicet Bio	12.12
ACEV	ACE Convergence Acquisition	10.87
ACFN	Acorn Energy	0.48
ACGL	Arch Capital Group	32.02
ACH	Aluminum Corporation of China	7.95
ACHC	Acadia Healthcare Company	52.99
ACHV	Achieve Life Sciences	12.09
ACI	Albertsons Companies	17.08
ACIA	Acacia Communications	114.6
ACIC	Atlas Crest Investment	10.67
ACIU	AC Immune	6.15
ACIW	ACI Worldwide	39.59
ACLS	Axcelis Technologies	36.15
ACM	Aecom	52.08
ACMR	ACM Research	95.8
ACN	Accenture	247.57
ACNB	ACNB Corporation	25.07
ACND	Ascendant Digital Acquisition	10.29
ACOR	Acorda Therapeutics	6.74
ACRE	Ares Commercial Real Estate	11.5
ACRS	Aclaris Therapeutics	21.35
ACRX	AcelRx Pharmaceuticals	2.13
ACST	Acasti Pharma	0.68
ACTC	ArcLight Clean Transition	26.4
ACTG	Acacia Research	5.98
ACU	Acme United	31.59
ACUR	Acura Pharmaceuticals	0.2
ACY	AeroCentury	11.03
ADAP	Adaptimmune Therapeutics	5.61
ADBE	Adobe	470
ADC	Agree Realty	64.26
ADCT	ADC Therapeutics SA	27.53
ADES	Advanced Emissions Solutions	5.12
ADI	Analog Devices	151.88
ADIL	Adial Pharmaceuticals	2.15
ADM	Archer Daniels Midland	50.48
ADMA	ADMA Biologics	2.45
ADMP	Adamis Pharmaceuticals	1.1
ADMS	Adamas Pharmaceuticals	6.79
ADMT	ADM Tronics Unlimited	0.13
ADNT	Adient	33.79
ADOC	Edoc Acquisition	10.21
ADOM	Adomani	0.46
ADP	Automatic Data Processing	166.35
ADPT	Adaptive Biotechnologies	56.19
ADRO	Aduro BioTech	1235
ADS	Alliance Data Systems	67.68
ADSK	Autodesk	286.32
ADT	ADT Inc.	8.84
ADTN	ADTRAN, Inc.	17.22
ADTX	Aditx Therapeutics	3.26
ADUS	Addus HomeCare	114.57
ADV	Advantage Solutions	9.7
ADVM	Adverum Biotechnologies	12.35
ADXN	Addex Therapeutics	11.16
ADXS	Advaxis	0.7
ADYX	Adynxx	0.45
AE	Adams Resources & Energy	24.02
AEE	Ameren	72.84
